planet_name,planet_status,mass,mass_error_min,mass_error_max,planet_radius,radius_error_min,radius_error_max,planet_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,discovery_year,updated,publication,discovery_method,alternate_names,star_name,ra,dec,mag_j,mag_h,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_alternate_names
Kepler-1433 b,Confirmed,1.8,0.11,0.11,0.139,0.016,0.016,4.13592271,2.888e-05,2.888e-05,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19092719+4927248 b, K03120.01, KIC 11499192 b, KOI-3120 b, KOI-3120.01, WISE J190927.18+492724.7 b",Kepler-1433,287.363299,49.45689,13.772,13.483,1328.0,3.73,3.73,0.07,0.138,0.138,1.14,0.07,0.07,1.19,0.13,0.13,6097.0,116.39,116.39,"2MASS J19092719+4927248, KIC 11499192, KOI-3120, WISE J190927.18+492724.7"
Kepler-1434 b,Confirmed,1.8,0.11,0.11,0.099,0.018,0.018,8.05333618,8.907e-05,8.907e-05,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19420921+5112106 b, K03122.01, KIC 12416661 b, KOI-3122 b, KOI-3122.01, WISE J194209.22+511210.7 b",Kepler-1434,295.53838,51.202957,11.067,10.865,680.0,3.73,3.73,0.19,0.094,0.094,1.47,0.12,0.12,2.04,0.34,0.34,6291.0,88.27,88.27,"2MASS J19420921+5112106, KIC 12416661, KOI-3122, WISE J194209.22+511210.7"
Kepler-1435 b,Confirmed,1.8,0.11,0.11,0.077,0.008,0.008,4.45343281,3.591e-05,3.591e-05,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19244159+4455160 b, K03125.01, KIC 8751796 b, KOI-3125 b, KOI-3125.01, WISE J192441.58+445515.9 b",Kepler-1435,291.173299,44.921131,11.995,11.785,681.0,3.73,3.73,-0.03,0.097,0.097,1.21,0.06,0.06,1.32,0.11,0.11,6356.0,65.48,65.48,"2MASS J19244159+4455160, KIC 8751796, KOI-3125, WISE J192441.58+445515.9"
Kepler-1436 b,Confirmed,1.8,0.11,0.11,0.117,0.016,0.016,9.705716,0.0001638,0.0001638,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19505077+4646048 b, K03127.01, KIC 9907129 b, KOI-3127 b, KOI-3127.01, WISE J195050.77+464604.7 b",Kepler-1436,297.711565,46.768021,13.75,13.428,1142.0,3.73,3.73,-0.01,0.179,0.179,1.06,0.08,0.08,1.09,0.14,0.14,5972.0,172.48,172.48,"2MASS J19505077+4646048, KIC 9907129, KOI-3127, WISE J195050.77+464604.7"
Kepler-1437 b,Confirmed,1.8,0.11,0.11,0.122,0.012,0.012,10.9295461,0.0001172,0.0001172,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19272758+4919333 b, K03131.01, KIC 11455181 b, KOI-3131 b, KOI-3131.01, WISE J192727.57+491933.2 b",Kepler-1437,291.86493,49.32592,14.4,14.027,1182.0,3.73,3.73,-0.02,0.167,0.167,0.93,0.05,0.05,0.9,0.06,0.06,5557.0,80.38,80.38,"2MASS J19272758+4919333, KIC 11455181, KOI-3131, WISE J192727.57+491933.2"
Kepler-1438 b,Confirmed,1.8,0.11,0.11,0.084,0.009,0.009,2.31942009,1.702e-05,1.702e-05,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19170955+4040540 b, K03141.01, KIC 5440317 b, KOI-3141 b, KOI-3141.01, WISE J191709.45+404054.2 b",Kepler-1438,289.289809,40.681665,13.513,13.242,866.0,3.73,3.73,0.2,0.175,0.175,0.97,0.05,0.05,0.96,0.07,0.07,5530.0,67.02,67.02,"2MASS J19170955+4040540, KIC 5440317, KOI-3141, WISE J191709.45+404054.2"
Kepler-1439 b,Confirmed,1.8,0.11,0.11,0.13,0.019,0.019,8.07392849,4.784e-05,4.784e-05,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19025755+4058481 b, K03144.01, KIC 5688790 b, KOI-3144 b, KOI-3144.01",Kepler-1439,285.739806,40.980036,13.577,12.953,215.0,3.73,3.73,-0.03,0.126,0.126,0.46,0.06,0.06,0.43,0.05,0.05,3578.0,51.71,51.71,"2MASS J19025755+4058481, KIC 5688790, KOI-3144"
Kepler-143 b,Confirmed,1.8,0.11,0.11,0.215,0.054,0.054,16.007583,9.3e-05,9.3e-05,0.127,2014,2021-02-05,Announced on a website,Primary Transit,"2MASS J19521624+4924453 b, K00352.02, KIC 11521793 b, KOI-352 b, KOI-352.02, WISE J195216.24+492445.0  b",Kepler-143,298.067706,49.412605,12.59,12.292,828.71,11.66,11.66,-0.167,0.1,0.1,0.94,0.052,0.052,1.36,0.32,0.32,5848.0,168.0,168.0,"2MASS J19521624+4924453, KIC 11521793, KOI-352, WISE J195216.24+492445.0"
Kepler-143 c,Confirmed,1.8,0.11,0.11,0.301,0.075,0.075,27.082511,0.000169,0.000169,0.181,2014,2021-02-05,Announced on a website,Primary Transit,"2MASS J19521624+4924453 c, K00352.01, KIC 11521793 c, KOI-352 c, KOI-352.01, WISE J195216.24+492445.0  c",Kepler-143,298.067706,49.412605,12.59,12.292,828.71,11.66,11.66,-0.167,0.1,0.1,0.94,0.052,0.052,1.36,0.32,0.32,5848.0,168.0,168.0,"2MASS J19521624+4924453, KIC 11521793, KOI-352, WISE J195216.24+492445.0"
Kepler-1440 b,Confirmed,1.8,0.11,0.11,0.112,0.012,0.012,39.859484,0.001034,0.001034,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19012326+4818441 b, K03146.01, KIC 10908248 b, KOI-3146 b, KOI-3146.01, WISE J190123.27+481844.0 b",Kepler-1440,285.346938,48.312252,12.951,12.641,685.0,3.73,3.73,0.04,0.171,0.171,0.98,0.05,0.05,0.96,0.07,0.07,5698.0,68.65,68.65,"2MASS J19012326+4818441, KIC 10908248, KOI-3146, WISE J190123.27+481844.0"
Kepler-1441 b,Confirmed,1.8,0.11,0.11,0.117,0.012,0.012,39.4419839,0.0005327,0.0005327,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19345259+4307285 b, K03147.01, KIC 7534267 b, KOI-3147 b, KOI-3147.01",Kepler-1441,293.719126,43.12459,13.08,12.727,751.0,3.73,3.73,0.01,0.166,0.166,1.0,0.06,0.06,1.0,0.09,0.09,5802.0,150.6,150.6,"2MASS J19345259+4307285, KIC 7534267, KOI-3147"
Kepler-1442 b,Confirmed,1.8,0.11,0.11,0.351,0.026,0.026,81.4162941,0.0002026,0.0002026,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19250134+4850490 b, K03220.01, KIC 11189311 b, KOI-3220 b, KOI-3220.01, WISE J192501.34+485048.9 b",Kepler-1442,291.255595,48.84697,11.215,11.031,525.0,3.73,3.73,0.26,0.084,0.084,1.34,0.05,0.05,1.44,0.1,0.1,6394.0,77.61,77.61,"2MASS J19250134+4850490, KIC 11189311, KOI-3220, WISE J192501.34+485048.9"
Kepler-1443 Ab,Confirmed,1.8,0.11,0.11,0.087,0.008,0.008,2.41811321,1.443e-05,1.443e-05,0.12,2016,2024-07-28,Announced on a website,Primary Transit,"2MASS J18534458+4704006 b, K03234.01, KIC 10057494 b, KOI-3234 b, KOI-3234.01, WISE J185344.57+470400.4 b",Kepler-1443 A,283.435761,47.066855,11.337,11.098,475.0,3.73,3.73,0.0,0.08,0.08,1.19,0.05,0.05,1.27,0.09,0.09,6289.0,68.31,68.31,"2MASS J18534458+4704006, KIC 10057494, KOI-3234, WISE J185344.57+470400.4"
Kepler-1444 b,Confirmed,1.8,0.11,0.11,0.194,0.017,0.017,33.42035034,9.305e-05,9.305e-05,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19011934+4202255 b, K03237.01, KIC 6587796 b, KOI-3237 b, KOI-3237.01, WISE J190119.35+420225.7 b",Kepler-1444,285.330615,42.040436,11.195,10.901,340.0,3.73,3.73,0.06,0.087,0.087,1.03,0.04,0.04,1.05,0.08,0.08,5810.0,70.49,70.49,"2MASS J19011934+4202255, KIC 6587796, KOI-3237, WISE J190119.35+420225.7"
Kepler-1445 Ab,Confirmed,1.8,0.11,0.11,0.0972,0.0187,0.0187,10.60052083,8.867e-05,8.867e-05,0.0948,2016,2024-08-02,Announced on a website,Primary Transit,"WISE J184059.87+435454.0 b, KOI-3245 b, KOI-3245.01, K03245.01, KIC 8073705 b, 2MASS J18405986+4354542 b",Kepler-1445 A,280.249457,43.915066,11.436,11.178,506.357,6.534,6.534,-0.03,0.111,0.111,1.18,0.126,0.126,1.293,0.0598,0.0598,6173.11,117.12,117.12,"KIC 8073705, WISE J184059.87+435454.0, KOI-3245, 2MASS J18405986+4354542"
Kepler-1446 b,Confirmed,1.8,0.11,0.11,0.073,0.002,0.002,0.68996783,5e-07,5e-07,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19174175+4643342 b, K03246.01, KIC 9885417 b, KOI-3246 b, KOI-3246.01, WISE J191741.76+464333.9 b",Kepler-1446,289.42396,46.72617,10.797,10.3,162.0,3.73,3.73,0.11,0.097,0.097,0.81,0.02,0.02,0.75,0.01,0.01,4865.0,52.46,52.46,"2MASS J19174175+4643342, KIC 9885417, KOI-3246, WISE J191741.76+464333.9"
Kepler-1447 b,Confirmed,1.8,0.11,0.11,0.259,0.021,0.021,56.6747285,0.0003978,0.0003978,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19183442+5043375 b, K03260.01, KIC 12156174 b, KOI-3260 b, KOI-3260.01, WISE J191834.42+504337.3 b",Kepler-1447,289.643439,50.727089,13.526,13.146,871.0,3.73,3.73,-0.03,0.183,0.183,0.97,0.06,0.06,0.95,0.07,0.07,5722.0,88.46,88.46,"2MASS J19183442+5043375, KIC 12156174, KOI-3260, WISE J191834.42+504337.3"
Kepler-1448 b,Confirmed,1.8,0.11,0.11,0.144,0.014,0.014,12.27065865,5.885e-05,5.885e-05,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19112817+5035441 b, K03261.01, KIC 12055539 b, KOI-3261 b, KOI-3261.01, WISE J191128.16+503544.0 b",Kepler-1448,287.867389,50.595585,13.38,12.948,786.0,3.73,3.73,-0.16,0.21,0.21,0.95,0.07,0.07,0.93,0.08,0.08,5774.0,66.69,66.69,"2MASS J19112817+5035441, KIC 12055539, KOI-3261, WISE J191128.16+503544.0"
Kepler-1449 b,Confirmed,1.8,0.11,0.11,0.15,0.016,0.016,13.2274528,0.0001447,0.0001447,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19125561+5034043 b, K03262.01, KIC 12056139 b, KOI-3262 b, KOI-3262.01, WISE J191255.61+503404.2 b",Kepler-1449,288.231731,50.567886,13.994,13.686,1321.0,3.73,3.73,0.04,0.169,0.169,1.08,0.06,0.06,1.1,0.11,0.11,5979.0,97.37,97.37,"2MASS J19125561+5034043, KIC 12056139, KOI-3262, WISE J191255.61+503404.2"
Kepler-144 b,Confirmed,1.8,0.11,0.11,0.119,0.023,0.023,5.885273,2e-05,2e-05,0.066,2014,2021-02-05,Announced on a website,Primary Transit,"2MASS J18473976+4246318 b, K00369.01, KIC 7175184 b, KOI-369 b, KOI-369.01, WISE J184739.75+424632.0  b",Kepler-144,281.915678,42.775513,11.05,10.83,389.22,3.28,3.28,-0.326,0.1,0.1,1.03,0.052,0.052,1.24,0.24,0.24,6075.0,131.0,131.0,"2MASS J18473976+4246318, KIC 7175184, KOI-369, WISE J184739.75+424632.0"
Kepler-144 c,Confirmed,1.8,0.11,0.11,0.12,0.023,0.023,10.104665,4.3e-05,4.3e-05,0.094,2014,2021-02-05,Announced on a website,Primary Transit,"2MASS J18473976+4246318 c, K00369.02, KIC 7175184 c, KOI-369 c, KOI-369.02, WISE J184739.75+424632.0  c",Kepler-144,281.915678,42.775513,11.05,10.83,389.22,3.28,3.28,-0.326,0.1,0.1,1.03,0.052,0.052,1.24,0.24,0.24,6075.0,131.0,131.0,"2MASS J18473976+4246318, KIC 7175184, KOI-369, WISE J184739.75+424632.0"
Kepler-1450 b,Confirmed,1.8,0.11,0.11,0.153,0.01,0.01,54.5094166,0.000527,0.000527,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19381291+4504530 b, K03266.01, KIC 8826007 b, KOI-3266 b, KOI-3266.01, WISE J193812.89+450452.7 b",Kepler-1450,294.553828,45.08139,13.681,13.059,490.0,3.73,3.73,-0.02,0.147,0.147,0.71,0.04,0.04,0.68,0.04,0.04,4524.0,94.04,94.04,"2MASS J19381291+4504530, KIC 8826007, KOI-3266, WISE J193812.89+450452.7"
Kepler-1451 b,Confirmed,1.8,0.11,0.11,0.299,0.059,0.059,35.622233,0.0002098,0.0002098,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19334714+4024356 b, K03274.01, KIC 5280587 b, KOI-3274 b, KOI-3274.01",Kepler-1451,293.446425,40.409892,14.069,13.718,1159.0,3.73,3.73,0.01,0.164,0.164,1.0,0.07,0.07,0.99,0.1,0.1,5782.0,186.17,186.17,"2MASS J19334714+4024356, KIC 5280587, KOI-3274"
Kepler-1452 b,Confirmed,1.8,0.11,0.11,0.241,0.031,0.031,42.913751,0.0003689,0.0003689,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19294147+3815587 b, K03277.01, KIC 3120904 b, KOI-3277 b, KOI-3277.01, WISE J192941.46+381558.7 b",Kepler-1452,292.42283,38.266328,11.983,11.663,974.0,3.73,3.73,0.14,0.093,0.093,1.41,0.14,0.14,2.06,0.26,0.26,6101.0,112.92,112.92,"2MASS J19294147+3815587, KIC 3120904, KOI-3277, WISE J192941.46+381558.7"
Kepler-1453 b,Confirmed,1.8,0.11,0.11,0.238,0.019,0.019,47.1611696,0.0004176,0.0004176,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19043013+4756514 b, K03280.01, KIC 10653179 b, KOI-3280 b, KOI-3280.01, WISE J190430.12+475651.2 b",Kepler-1453,286.125545,47.947613,14.387,14.034,1284.0,3.73,3.73,0.01,0.164,0.164,0.97,0.05,0.05,0.94,0.07,0.07,5665.0,70.11,70.11,"2MASS J19043013+4756514, KIC 10653179, KOI-3280, WISE J190430.12+475651.2"
Kepler-1454 b,Confirmed,1.8,0.11,0.11,0.168,0.015,0.015,47.0319479,0.0006695,0.0006695,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J18565359+4849543 b, K03281.01, KIC 11177676 b, KOI-3281 b, KOI-3281.01, WISE J185653.59+484954.3 b",Kepler-1454,284.223331,48.831772,13.623,13.243,795.0,3.73,3.73,-0.02,0.169,0.169,0.9,0.05,0.05,0.86,0.05,0.05,5448.0,64.34,64.34,"2MASS J18565359+4849543, KIC 11177676, KOI-3281, WISE J185653.59+484954.3"
Kepler-1455 b,Confirmed,1.8,0.11,0.11,0.193,0.014,0.014,49.276764,0.0003737,0.0003737,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19361993+5030099 b, K03282.01, KIC 12066569 b, KOI-3282 b, KOI-3282.01, WISE J193619.93+503009.9 b",Kepler-1455,294.083055,50.502777,13.772,13.085,392.0,3.73,3.73,-0.02,0.167,0.167,0.62,0.04,0.04,0.6,0.04,0.04,4075.0,57.4,57.4,"2MASS J19361993+5030099, KIC 12066569, KOI-3282, WISE J193619.93+503009.9"
Kepler-1456 b,Confirmed,1.8,0.11,0.11,0.102,0.013,0.013,18.1373829,0.0001854,0.0001854,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19074687+4349219 b, K03286.01, KIC 8016691 b, KOI-3286 b, KOI-3286.01, WISE J190746.88+434921.9 b",Kepler-1456,286.945321,43.822773,13.486,12.862,379.0,3.73,3.73,-0.09,0.336,0.336,0.64,0.08,0.08,0.62,0.07,0.07,4231.0,85.61,85.61,"2MASS J19074687+4349219, KIC 8016691, KOI-3286, WISE J190746.88+434921.9"
Kepler-1457 b,Confirmed,1.8,0.11,0.11,0.178,0.018,0.018,51.1110243,0.0003738,0.0003738,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J18550494+4201380 b, K03287.01, KIC 6584273 b, KOI-3287 b, KOI-3287.01, WISE J185504.93+420137.9 b",Kepler-1457,283.770601,42.027245,12.944,12.608,728.0,3.73,3.73,-0.05,0.189,0.189,1.01,0.07,0.07,1.01,0.1,0.1,5866.0,119.79,119.79,"2MASS J18550494+4201380, KIC 6584273, KOI-3287, WISE J185504.93+420137.9"
Kepler-1458 b,Confirmed,1.8,0.11,0.11,0.246,0.019,0.019,47.9872764,0.0001776,0.0001776,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J18525078+4102170 b, K03288.01, KIC 5768816 b, KOI-3288 b, KOI-3288.01, WISE J185250.78+410216.9 b",Kepler-1458,283.211614,41.038063,12.936,12.57,642.0,3.73,3.73,0.02,0.161,0.161,0.96,0.05,0.05,0.94,0.07,0.07,5653.0,136.13,136.13,"2MASS J18525078+4102170, KIC 5768816, KOI-3288, WISE J185250.78+410216.9"
Kepler-1459 b,Confirmed,1.8,0.11,0.11,0.121,0.007,0.007,62.8691611,0.0009586,0.0009586,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J18494152+4600504 b, K03296.01, KIC 9447166 b, KOI-3296 b, KOI-3296.01, WISE J184941.51+460050.3 b",Kepler-1459,282.423025,46.014019,13.005,12.497,435.0,3.73,3.73,0.01,0.161,0.161,0.78,0.04,0.04,0.74,0.03,0.03,4828.0,40.76,40.76,"2MASS J18494152+4600504, KIC 9447166, KOI-3296, WISE J184941.51+460050.3"
Kepler-145 b,Confirmed,0.117,0.036,0.036,0.236,0.007,0.007,22.951,0.000107,0.000107,0.12,2013,2021-02-05,Published in a refereed paper,Primary Transit,"2MASS J19253306+4431447 b, K00370.02, KIC 8494142 b, KOI-370 b, KOI-370.02, WISE J192533.06+443144.6  b",Kepler-145,291.387762,44.529106,10.913,10.693,576.15,8.47,8.47,0.13,0.1,0.1,1.28,0.019,0.019,1.98,0.012,0.012,6022.0,106.0,106.0,"KOI-370, KIC 8494142, 2MASS J19253306+4431447, WISE J192533.06+443144.6"
Kepler-145 c,Confirmed,0.25,0.052,0.052,0.385,0.011,0.011,42.882,0.000107,0.000107,0.12,2013,2021-02-05,Published in a refereed paper,Primary Transit,"2MASS J19253306+4431447 c, K00370.01, KIC 8494142 c, KOI-370 c, KOI-370.01, WISE J192533.06+443144.6  c",Kepler-145,291.387762,44.529106,10.913,10.693,576.15,8.47,8.47,0.13,0.1,0.1,1.28,0.019,0.019,1.98,0.012,0.012,6022.0,106.0,106.0,"KOI-370, KIC 8494142, 2MASS J19253306+4431447, WISE J192533.06+443144.6"
Kepler-1460 b,Confirmed,1.8,0.11,0.11,0.175,0.012,0.012,29.9633247,0.0002186,0.0002186,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19021387+4400388 b, K03298.01, KIC 8151055 b, KOI-3298 b, KOI-3298.01, WISE J190213.86+440038.9 b",Kepler-1460,285.557796,44.010788,14.093,13.449,574.0,3.73,3.73,-0.02,0.172,0.172,0.7,0.05,0.05,0.67,0.04,0.04,4422.0,45.02,45.02,"2MASS J19021387+4400388, KIC 8151055, KOI-3298, WISE J190213.86+440038.9"
Kepler-1461 b,Confirmed,1.8,0.11,0.11,0.181,0.014,0.014,29.3494775,0.0001832,0.0001832,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19031930+4311542 b, K03303.01, KIC 7510820 b, KOI-3303 b, KOI-3303.01, WISE J190319.31+431154.2 b",Kepler-1461,285.830458,43.198395,14.137,13.706,752.0,3.73,3.73,-0.04,0.174,0.174,0.79,0.05,0.05,0.74,0.04,0.04,4919.0,58.16,58.16,"2MASS J19031930+4311542, KIC 7510820, KOI-3303, WISE J190319.31+431154.2"
Kepler-1462 b,Confirmed,1.8,0.11,0.11,0.341,0.035,0.035,65.6488341,0.0006621,0.0006621,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19453540+4223489 b, K03305.01, KIC 6880517 b, KOI-3305 b, KOI-3305.01, WISE J194535.38+422348.8 b",Kepler-1462,296.397527,42.396918,14.471,14.078,1368.0,3.73,3.73,0.06,0.142,0.142,1.0,0.07,0.07,1.0,0.1,0.1,5756.0,206.5,206.5,"2MASS J19453540+4223489, KIC 6880517, KOI-3305, WISE J194535.38+422348.8"
Kepler-1463 b,Confirmed,1.8,0.11,0.11,0.166,0.017,0.017,25.15864,0.0005123,0.0005123,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19375695+4200249 b, K03306.01, KIC 6615511 b, KOI-3306 b, KOI-3306.01, WISE J193756.93+420024.7 b",Kepler-1463,294.487304,42.00692,14.526,14.216,1341.0,3.73,3.73,0.0,0.191,0.191,0.96,0.06,0.06,0.95,0.08,0.08,5679.0,125.8,125.8,"2MASS J19375695+4200249, KIC 6615511, KOI-3306, WISE J193756.93+420024.7"
Kepler-1464 b,Confirmed,1.8,0.11,0.11,0.148,0.014,0.014,31.7785901,0.0002734,0.0002734,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19085656+3845149 b, K03308.01, KIC 3632089 b, KOI-3308 b, KOI-3308.01, WISE J190856.56+384514.8 b",Kepler-1464,287.235677,38.754161,12.882,12.536,692.0,3.73,3.73,0.03,0.162,0.162,1.02,0.06,0.06,1.01,0.09,0.09,5828.0,169.63,169.63,"2MASS J19085656+3845149, KIC 3632089, KOI-3308, WISE J190856.56+384514.8"
Kepler-1464 c,Confirmed,1.8,0.11,0.11,0.089,0.01,0.01,5.32786292,5.389e-05,5.389e-05,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19085656+3845149 c, K03308.02, KIC 3632089 c, KOI-3308 c, KOI-3308.02, WISE J190856.56+384514.8 c",Kepler-1464,287.235677,38.754161,12.882,12.536,692.0,3.73,3.73,0.03,0.162,0.162,1.02,0.06,0.06,1.01,0.09,0.09,5828.0,169.63,169.63,"2MASS J19085656+3845149, KIC 3632089, KOI-3308, WISE J190856.56+384514.8"
Kepler-1465 b,Confirmed,1.8,0.11,0.11,0.158,0.017,0.017,31.8277111,0.0001219,0.0001219,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19191664+5154174 b, K03311.01, KIC 12735830 b, KOI-3311 b, KOI-3311.01, WISE J191916.65+515417.4 b",Kepler-1465,289.819341,51.90485,12.718,12.161,350.0,3.73,3.73,-0.06,0.175,0.175,0.75,0.05,0.05,0.71,0.04,0.04,4726.0,75.37,75.37,"2MASS J19191664+5154174, KIC 12735830, KOI-3311, WISE J191916.65+515417.4"
Kepler-1466 b,Confirmed,1.8,0.11,0.11,0.138,0.015,0.015,31.1750448,0.0002157,0.0002157,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19191949+4436355 b, K03315.01, KIC 8554701 b, KOI-3315 b, KOI-3315.01, WISE J191919.49+443635.4 b",Kepler-1466,289.831222,44.609863,12.815,12.469,686.0,3.73,3.73,-0.07,0.196,0.196,1.01,0.07,0.07,1.02,0.1,0.1,5884.0,128.07,128.07,"2MASS J19191949+4436355, KIC 8554701, KOI-3315, WISE J191919.49+443635.4"
Kepler-1467 b,Confirmed,1.8,0.11,0.11,0.294,0.022,0.022,47.0569043,0.0001835,0.0001835,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19401164+4520336 b, K03316.01, KIC 9031209 b, KOI-3316 b, KOI-3316.01, WISE J194011.61+452033.0 b",Kepler-1467,295.04854,45.342686,14.139,13.704,890.0,3.73,3.73,-0.07,0.187,0.187,0.86,0.06,0.06,0.82,0.06,0.06,5332.0,173.73,173.73,"2MASS J19401164+4520336, KIC 9031209, KOI-3316, WISE J194011.61+452033.0"
Kepler-1468 b,Confirmed,1.8,0.11,0.11,0.154,0.017,0.017,8.23984869,3.988e-05,3.988e-05,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19340476+4116386 b, K03319.02, KIC 5965819 b, KOI-3319 b, KOI-3319.02, WISE J193404.76+411638.5 b",Kepler-1468,293.519844,41.277405,13.845,13.497,1899.24,89.82,89.82,0.204,0.01386,0.01386,1.03,0.052,0.052,1.841,0.055,0.055,5774.53,135.839,135.839,"2MASS J19340476+4116386, KIC 5965819, KOI-3319, WISE J193404.76+411638.5"
Kepler-1468 c,Confirmed,1.8,0.11,0.11,0.103,0.012,0.012,3.54553021,2.273e-05,2.273e-05,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19340476+4116386 c, K03319.03, KIC 5965819 c, KOI-3319 c, KOI-3319.03, WISE J193404.76+411638.5 c",Kepler-1468,293.519844,41.277405,13.845,13.497,1899.24,89.82,89.82,0.204,0.01386,0.01386,1.03,0.052,0.052,1.841,0.055,0.055,5774.53,135.839,135.839,"2MASS J19340476+4116386, KIC 5965819, KOI-3319, WISE J193404.76+411638.5"
Kepler-1468 d,Confirmed,1.8,0.11,0.11,0.29717,0.021,0.021,19.59059906,0.000107,0.000107,0.1456,2017,2024-06-10,Announced on a website,Primary Transit,"KOI-3319 d, KOI-3319.01",Kepler-1468,293.519844,41.277405,13.845,13.497,1899.24,89.82,89.82,0.204,0.01386,0.01386,1.03,0.052,0.052,1.841,0.055,0.055,5774.53,135.839,135.839,"2MASS J19340476+4116386, KIC 5965819, KOI-3319, WISE J193404.76+411638.5"
Kepler-1469 b,Confirmed,1.8,0.11,0.11,0.25,0.023,0.023,21.8635301,0.0001219,0.0001219,0.12,2016,2021-02-05,Announced on a website,Primary Transit,"2MASS J19351712+3923288 b, K03324.01, KIC 4271474 b, KOI-3324 b, KOI-3324.01, WISE J193517.10+392329.1 b",Kepler-1469,293.821357,39.39135,14.631,14.228,1255.0,3.73,3.73,0.02,0.171,0.171,0.92,0.05,0.05,0.89,0.06,0.06,5507.0,170.81,170.81,"2MASS J19351712+3923288, KIC 4271474, KOI-3324, WISE J193517.10+392329.1"
Kepler-146 b,Confirmed,1.8,0.11,0.11,0.331,0.062,0.062,31.158799,7.9e-05,7.9e-05,0.2,2014,2021-04-15,Announced on a website,Primary Transit,"2MASS J19362658+3842368 b, K00386.01, KIC 3656121 b, KOI-386 b, KOI-386.01, WISE J193626.56+384236.8  b",Kepler-146,294.110756,38.71023,12.739,12.472,716.797,9.66,9.66,0.03,0.09,0.09,1.1,0.045,0.045,1.16,0.099,0.099,6034.0,87.0,87.0,"2MASS J19362658+3842368, KIC 3656121, KOI-386, WISE J193626.56+384236.8"
Kepler-146 c,Confirmed,1.8,0.11,0.11,0.2792,0.0526,0.0526,76.732171,0.000609,0.000609,0.364,2014,2021-04-15,Announced on a website,Primary Transit,"2MASS J19362658+3842368 c, K00386.02, KIC 3656121 c, KOI-386 c, KOI-386.02, WISE J193626.56+384236.8  c",Kepler-146,294.110756,38.71023,12.739,12.472,716.797,9.66,9.66,0.03,0.09,0.09,1.1,0.045,0.045,1.16,0.099,0.099,6034.0,87.0,87.0,"2MASS J19362658+3842368, KIC 3656121, KOI-386, WISE J193626.56+384236.8"
